id	date	status	decision	reason
ADR-001	2026-07-02	ACCEPTED	Use NVIDIA PRIME offload for MORAI	Default OpenGL uses Intel; NVIDIA offload confirmed (SIM renders via Vulkan on NVIDIA)
ADR-002	2026-07-02	ACCEPTED	Defer Docker installation	Current focus is MORAI/SR GUI execution
ADR-003	2026-07-02	ACCEPTED	Use three-tier records: TSV, evidence logs, runbooks	TSV for state, raw logs for evidence, markdown for procedures
ADR-004	2026-07-02	ACCEPTED	Run Claude Code only in avstack-control	Limit file access scope
ADR-006	2026-07-02	ACCEPTED	Adopt official MORAISim.sh launch path wrapped with NVIDIA offload	Manual mandates MORAISim.sh (prepares keylok/Kvaser; no-op on this host); it is future-proof, and we wrap it with PRIME offload since the manual omits GPU offload
ADR-007	2026-07-03	ACCEPTED	통합 로드맵 채택: Stage 03.5(API 계약 검증)/03.7(경계 감지 게이트)/05.5(Built-in Batch 파이프라인)/05.7(재현성 캘리브레이션+Multi-Map) 신설; Autoware(06~08)는 05.7 통과 후 착수	설계노트 Decision 1(Built-in 기준선 우선)/6(경계 감지 게이트) 반영; RTX 3050 4GB 제약상 Autoware 없이 완성 가능한 평가 프레임워크 자산을 우선
ADR-008	2026-07-03	ACCEPTED	평가 프레임워크(morai_eval_framework)는 avstack-control과 별도 저장소로 분리	권한 모델 차이(개발 repo는 pip/pytest/CI 필요); 추적성은 stages.tsv evidence에 프레임워크 repo 커밋 해시를 기록하여 유지
ADR-011	2026-07-06	ACCEPTED	저장소 4층 경계 확정: ~/avstack는 비-git(재생성물) 유지 / 시나리오·맵 매니페스트는 oss3-scenarios(정의)로 추출 / VERSIONS·scripts·env·판정원장 정본은 avstack-control	정의는 git·재생성물은 밖 원칙. 계층 혼입 방지·판정 이중화 제거. 상세 runbooks/repo_boundaries.md
ADR-011	2026-07-06	ACCEPTED	AMEND: 5리포 별칭 체계 확정 — 관리 리포 최종명 oss3-mgmt([MGMT]), [CONTROL]=avstack-control, [WS]=~/avstack(비git), [SCEN]=oss3-scenarios, [EVAL]=avstack-eval로 프레임워크 리포명 예약(ADR-008 연계). 기존 경계 ADR-011 갱신	명명 확정·별칭 도입으로 대외/문서 참조 일관화. 정본 runbooks/repo_boundaries.md v1.1
ADR-009	2026-07-06	ACCEPTED	무인 회귀시험(L6) 데이터 소스를 Runner 산출물(eventlog/statelog)+API polling으로 한정, rosbag은 유인 세션 산출물로 분류. 성숙도 L6 전제에서 ROS2 Native 제외	AVS-007로 ROS2 Native 무인 불가 + Network Settings Connect가 GUI 전용 → 무인 크리티컬 패스에서 Connect 제거, GUI 자동화는 런처 Start 1관문만. 근거 full_autonomy_analysis 3.3
