id	date	stage	status	severity	symptom	hypothesis	evidence	next	resolution
AVS-001	2026-07-02	02_scenario_runner	RESOLVED	HIGH	Start Scenario Runner button active but window did not appear	Missing native libs (Qt xcb plugin, numpy/lapack); Launcher swallowed child stderr; OpenGL-inheritance hypothesis ruled out (SIM uses Vulkan+NVIDIA)	/home/hjjung/avstack/runs/stage02_sr_login_20260702_154023.log	Open SR via MORAI SIM flow; standalone SR login needs account ID (OPEN-05)	Installed libxcb-xinerama0 + liblapack3/libblas3; SR window shows and runs when opened via SIM (DISPLAY=:1 over NoMachine)
AVS-002	2026-07-02	01_morai_sim	OPEN	MED	Map rendered only partially on NoMachine screen (SIM otherwise normal)	NoMachine capture of Vulkan swapchain incomplete; or 4GB VRAM texture streaming down-LOD	~/.config/unity3d/MORAI/Simulator/Player.log (no VK errors; map data loaded)	Compare direct console vs NoMachine; watch nvidia-smi VRAM during map load; try lighter map/quality	
AVS-003	2026-07-02	01_morai_sim	RESOLVED	LOW	MORAISim.sh always exits 127; SingleInstance relaunch exits 0 with no window; unity.lock persists after exit	MORAISim.sh runs launcher in backticks and executes its 'Found path:' stdout; launcher is SingleInstance mode	~/avstack/runs/launcher_direct2_20260702_162036.log; unity.lock held dead PID after clean exit	Judge normal-exit by window + Player.log, not shell exit code	Wrapper absorbs 127, guards live instance via pgrep, USE_MORAISIM=0 gives clean exit code; documented in runbook 10.2.1
AVS-002	2026-07-02	01_morai_sim	RESOLVED	MED	Map rendered only partially/degraded on screen	Ruled out: NoMachine transport (local console == NoMachine minus compression) and VRAM OOM (2.6/4GB, 1.5GB free)	/home/hjjung/avstack/logs/avs002_serverside_map_20260702_165533.png ; /home/hjjung/avstack/logs/avs002_gpu_20260702_165533.txt	Optional mitigation: lower SIM quality/resolution; not blocking functional stages	Diagnosed as GPU-perf-bound: RTX 3050 (below min spec RTX 2060 Super) pegged 96-99%; server-side :1 capture identical to local+NoMachine, so it is the SIM's actual render output on this GPU, not a transport/config bug
AVS-002	2026-07-02	01_morai_sim	OPEN	MED	CORRECTION of mis-scoped AVS-002: certain LARGE maps crash SIM on load (sangam_nobuilding 686MB scene crashes; K-City 350MB loads fine). Earlier 'partial render/gpu-perf' framing was a misread of user report	Vulkan Out of memory loading large scene into 4GB VRAM -> SIGSEGV in vk::DataBuffer::CreateResource / GfxDeviceVK::InitializeBufferInternal	/home/hjjung/avstack/logs/avs002_sangam_crash_20260702_171523.log	Workaround: use maps that fit 4GB VRAM (K-City ok); large maps need >4GB GPU. Test lower texture/quality for headroom	
AVS-004	2026-07-02	03_xosc_builtin	OPEN	MED	Scenario Runner VTK/OpenGL GUI client area renders black in NoMachine X11 + NVIDIA offload env; only flickers on hover	VTK GL widget compositing failure on this X server. Ruled out: gpu-contention (black with SIM off), nomachine-capture (black on physical screen), gl-backend (black with LIBGL software swrast AND QT_XCB_GL_INTEGRATION=none)	~/avstack/runs/sr_softgl_*.log ; ~/avstack/runs/stage03_qtxcb_*.log ; server-side xwd captures	Operate SR blind + verify results in SIM; revisit with newer SR/Qt or alt platform plugin	
AVS-005	2026-07-02	01_morai_sim	OPEN	LOW	MORAI SIM hangs/crashes when its window is resized or shrunk during a session	Unity swapchain re-init (InitializeOrResetSwapChain storm) under load on 4GB GPU destabilizes -> not-responding/crash	Player.log repeated InitializeOrResetSwapChain then hang; user observed close on shrink	Do not resize the SIM window; keep default size	
AVS-006	2026-07-03	03_5_api_contract	OPEN	HIGH	OpenSCENARIO API 22.R3 lib이 sourcedefender 암호화(.pye 694개)인데 3.7용 sourcedefender 런타임을 PyPI에서 구할 수 없어 API import 불가 → Stage 03.5 블로커	sourcedefender는 암호화 시 Python 3.7 마이너에 고정, 최신은 3.7 지원 중단(>=3.9/3.10)이고 PyPI엔 8개(15/16.x sdist)만 남아 옛 3.7 버전이 pruned됨	~/avstack/logs/avs006_sourcedefender_py37_block_20260703.md	MORAI에 22.R3 API의 정확한 sourcedefender 버전/설치 경로 문의; 확보 시 pip install sourcedefender==<버전> 후 나머지 deps→run_sprint0.sh	
AVS-007	2026-07-03	05_ros2_native	OPEN	HIGH	MORAI 26.R1.H3 ROS2 Native(ros2cs) 를 host Humble 로 붙이면 SIM 이 startup 에서 std::bad_cast 로 종료; 미소싱이면 Connect 시 librcl not found	SIM ros2cs=Humble 2023-03-31 build(standalone=0), host Humble=2026-06 패치 → fastrtps/typesupport ABI 불일치	~/avstack/logs/avs007_ros2cs_abi_mismatch_20260703.md (metadata_ros2cs.xml standalone=0; ldd librcl not found; Player.log librmw_fastrtps_cpp std::bad_cast)	rosbridge 경로로 우회 검토 / host ROS2 버전 정합 / MORAI 문의(정확한 Humble 패치)	
AVS-007	2026-07-03	05_ros2_native	OPEN	HIGH	ROS2 Native ros2cs 가 SIM startup 에서 librmw_fastrtps_cpp std::bad_cast 로 사망. #2 버전정합(2023 fastrtps) 실측해도 동일 실패	H1(버전 불일치) 실험적 반증. 원인은 host ROS2 버전 아님 → SIM ros2cs/Unity 로딩 특유(H2 RTTI/dlopen or H3). 버전 정합 무효	~/avstack/logs/avs007_* (2023 fastrtps prefix 전파 확인에도 동일 bad_cast; rclpy 는 동일 libs 로 정상), runbooks/avs-007_ros2_native_report.md	rosbridge 로 Stage05 진행(주경로) + MORAI 에 standalone ros2cs/native 로딩 절차 문의. 버전정합은 배제.	
AVS-007	2026-07-03	05_ros2_native	OPEN	HIGH	MORAI 26.R1.H3 → host ROS2 Humble 데이터 연동 양경로 차단: native ros2cs std::bad_cast, rosbridge 는 SIM publish 를 필드불일치로 전부 거부(표준 tf 포함)	MORAI 26.R1.H3 vs host Humble/rosbridge_suite(둘다 2026) 버전 불일치. native=ABI, rosbridge=직렬화 포맷. 버전정합(H1) 반증됨	~/avstack/logs/avs007_* (rosout: EgoVehicleStatus/tf2_msgs does not have field; client_count 32, 수신 0), runbooks/avs-007_ros2_native_report.md	MORAI 문의(호환 ROS2/rosbridge 버전, standalone ros2cs, 26.R1.H3 msg 정의 세트). 선택적으로 구 rosbridge/msg 정합 실험	
AVS-007	2026-07-06	05_ros2_native	OPEN	HIGH	AMEND: 재검증(2026-07-06) 완료 — E2로 D1=FAIL(DDS participant 미생성) 확정. ROS2 native 소싱 시 startup std::bad_cast 3회, rosbridge header.seq 거부 3회 재현	native/rosbridge 양경로 재현 결정론적. D1: SIM이 RTPS 74xx 미바인딩=participant 생성 전 rmw 로드 실패. 진단매트릭스 1행(벤더귀속)	vendor/morai/evidence/avs007_recheck_20260706_*, avs007b_recheck_20260706_*, avs006_recheck_20260706_*	MORAI-001/002 발송(N=3 반영 완료). 발송 후 SENT 동결 세션	
AVS-008	2026-07-06	meta	OPEN	MED	~/avstack/STATUS.md(Stage 0~8 자체 판정)와 records/stages.tsv(00~04 PASS/05 FAIL) 판정 불일치 — 이중 원장	판정 권위가 stages.tsv 단일이어야 하는데 STATUS.md가 별도 판정 보유; 스테이지 번호체계(0~8 vs 00~04 계열)도 불일치	~/avstack/STATUS.md ; records/stages.tsv ; runbooks/repo_boundaries.md	STATUS.md를 stages.tsv 포인터로 전환 + 스테이지 체계 00~04 계열로 일원화 (판정은 stages.tsv 단일 권위)	
AVS-008	2026-07-06	meta	RESOLVED	MED	~/avstack/STATUS.md(Stage 0~8 자체 판정)와 records/stages.tsv 판정 불일치 — 이중 원장	판정 권위는 stages.tsv 단일이어야 함	~/avstack/STATUS.md (수정 후), records/stages.tsv	완료	~/avstack/STATUS.md의 §Current Stage 자체 판정 블록을 stages.tsv 포인터로 전환(자체 PASS/TODO 목록 제거). 스테이지 체계 00~05 계열로 일원화. Machine/Rule 워크스페이스 사실은 유지
AVS-007	2026-07-10	05_ros2_native	OPEN	HIGH	AMEND: T-24(2026-07-10) 벤더 진단('morai_msgs 미소싱') 반증 — 오버레이 소싱 상태(launcher environ 실물 증거)에서 native std::bad_cast 동일 재현(N2), rosbridge는 26.R1 정합 msgs로도 header.seq 거부 53,686건(표준 tf2 포함)·수신 0·CtrlCmd 역방향 무반응(R2). 매트릭스 4/4 FAIL	(추론) seq 거부=std_msgs/Header(ROS2 코어, seq 없음) 기인 — msgs 버전·소싱과 무관. native bad_cast=rcl/rmw 로드 계층 — 메시지 패키지와 무관. 분기 C(진단 틀림)	~/avstack/logs/avs007_t24_20260710_N2r1_*, avs007_t24_20260710_R2r1_*, runbooks/t24_vendor_diag_verification.md §3-4	MORAI 재회신(반증 증거 패키지: environ 캡처+크래시 로그+거부 분포) — OUTBOX 초안 작성, evidence/ 동결 후 발송	
AVS-007	2026-07-10	05_ros2_native	RESOLVED	HIGH	AMEND: RESOLVED — T-25(2026-07-10) native 경로 완전 동작 확인: 벤더 방식(humble+morai msgs ws 소싱, 직접/래퍼 무관) 기동 → SIM 생존 → ROS2 Connect → participant 생성·토픽 18종·50.2Hz 수신·CtrlCmd 제어(시간상관 실측). 크래시 재현 조건은 RMW_IMPLEMENTATION 설정 시(N4)뿐	근본원인(H4 확정): RMW_IMPLEMENTATION 환경변수 설정 시 rcl rmw identifier 검사 경로의 dlopen에서 std::bad_cast — 래퍼가 이 변수를 항상 설정했던 것이 원인. 소싱·msgs 버전·host 패치버전 무관(벤더 진단 '미소싱'도 부정확). rosbridge는 벤더 공식 비지원(ROS1 포맷) — 경로 폐기	~/avstack/logs/avs007_t24_20260710_N3r1_*, N4r1_*(H4 대조), avs007_t25_20260710_N3r2_track.log(drift/freeze/cmd 3국면)	래퍼 SOURCE_ROS2 블록 정정(RMW 미설정+unset) 완료. 벤더 3차 회신(결과 공유). 부수 발견: 설정창 열림=물리 일시정지(운영 주의)	RMW_IMPLEMENTATION 미설정 레시피로 native 연동 정상화 — Stage 05 PASS(2026-07-10)
AVS-006	2026-07-10	03_5_python_api	RESOLVED	HIGH	AMEND: RESOLVED — 벤더 py3.13 재빌드 API(scenario-API-python3.13.zip, md5 4c175502dffd9911038863cf1b5cf01f) 수령(2026-07-10). morai-osc-py313 env(conda-forge py3.13.14)에서 sourcedefender 16.0.65 설치 성공, .pye 252개 wrappers import 성공	원인 해소: py3.7 전용 sourcedefender 소멸 문제를 벤더가 py3.13 재빌드로 해결(우리 진단대로). requirements-release.txt 동봉	~/avstack/logs/avs006_py313_import_20260710.log, ~/avstack/inbox/scenario-API-python3.13.zip, environment-morai-osc-py313.yml	Stage 03.5 재개: API 계약 검증(Importer/Client wrapper: import_open_scenario, start/stop_scenario, get_stop_status) + SIM gRPC(127.0.0.1:7789) 연동 실행. 구 py3.7 env(morai-osc)는 검증 완료 후 폐기	py3.13 재빌드 + sourcedefender 16.0.65 로 import 검증 완료 — API 사용 가능
